01A,Afognak Lake Airport
BRS,Bristol Airport
BRT,Bathurst Island Airport
BRU,Brussels National
BRV,Bremerhaven Airport
BRW,Wiley Post/Will Rogers Memorial
BRX,Barahona Habanero
BRY,Samuels Field
BSA,Bosaso Airport
BSB,Presidente Juscelino Kubitschek International
BSD,Baoshan Airport
BSG,Bata Airport
BSK,Mohamed Khider
BSL,EuroAirport
BSO,Basco Airport
BSQ,Bisbee Municipal
BSR,Basrah International
BSS,Balsas Airport
BSU,Basankusu Airport
BSW,Boswell Bay Airport
BSZ,Bartletts Airport
BTA,Bertoua Airport
BTC,Batticaloa Airport
BTE,Bonthe Airport
BTH,Batu Besar Airport
BTI,Barter Island LRRS
BTJ,Sultan Iskandar Muda
BTK,Bratsk Airport
BTL,W K Kellogg
BTM,Bert Mooney
BTP,Butler County/K. W. Scholter Field
BTR,Baton Rouge Metropolitan/Ryan Field
BTS,M. R. Stefanik International
BTT,Bettles Airport
BTU,Bintulu Airport
BTV,Burlington International
BTY,Beatty Airport
BTZ,Bursa Airport
BUA,Buka
BUC,Burketown Airport
BUD,Budapest Liszt Ferenc International
BUE,Buenos Aires Metropolitan Area
BUF,Buffalo Niagara International
BUG,17 de Setembro
BUH,Bucharest Metropolitan Area
BUL,Bulolo Airport
BUM,Butler Memorial
BUN,Gerardo Tobar Lopez
BUO,Burao Airport
BUQ,J. M. Nkomo International
BUR,Bob Hope
BUS,Batumi Airport
BUU,Buyo Airport
BUV,Bella Union Airport
BUX,Bunia Airport
BUY,Bunbury Airport
BUZ,Bushehr Airport
BVA,Tille
BVB,Atlas Brasil Cantanhede
BVD,Beaver Inlet Seaport
BVI,Birdsville Airport
BVO,Bartlesville Municipal
BVR,Beaver Island
BVU,Beluga Airport
BVX,Batesville Regional
BVY,Beverly Municipal
BW1,Thebephatshwa
BWA,Gautam Buddha
BWD,Brownwood Regional
BWE,Braunschweig/Wolfsburg
BWG,Bowling Green-Warren County Regional
BWH,Butterworth Airport
BWI,Baltimore/Washington International Thurgood Marshall
BWJ,Bawan Airport
BWM,Bowman Municipal
BWN,Brunei International
BWS,Blaine Municipal
BWT,Wynyard
BWY,RAF Bentwaters
BXC,Sheraton Inn Heliport
BXD,Bade Airport
BXE,Bakel Airport
BXS,Borrego Valley
